InvoiceDate,WHITE HANGING HEART T-LIGHT HOLDER,JUMBO BAG RED RETROSPOT,REGENCY CAKESTAND 3 TIER,ASSORTED COLOUR BIRD ORNAMENT,LUNCH BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,NATURAL SLATE HEART CHALKBOARD ,JAM MAKING SET WITH JARS,SMALL POPCORN HOLDER,RECIPE BOX PANTRY YELLOW DESIGN,LUNCH BAG CARS BLUE,WOODEN PICTURE FRAME WHITE FINISH,LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,ALARM CLOCK BAKELIKE RED ,VICTORIAN GLASS HANGING T-LIGHT,JUMBO STORAGE BAG SUKI,GREEN REGENCY TEACUP AND SAUCER,JUMBO BAG PINK POLKADOT,6 RIBBONS RUSTIC CHARM
2010-12-01,454,556,115,224,78,241,38,65,271,28,22,24,4,145,47,69,54,15,45,22
2010-12-02,309,48,184,503,11,459,28,38,74,13,3,72,14,34,88,24,14,30,23,73
2010-12-03,25,49,231,48,93,254,28,13,67,4,122,1,104,67,51,14,43,91,23,33
2010-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-05,198,39,92,129,36,21,25,23,81,79,28,39,2,12,42,0,9,10,17,49
2010-12-06,161,157,156,130,34,141,43,36,265,40,29,16,22,29,22,125,38,59,20,38
2010-12-07,331,343,129,271,33,261,61,22,130,12,12,20,2,43,20,155,25,14,14,37
2010-12-08,151,205,64,91,117,134,52,42,213,22,20,39,56,21,11,54,101,34,213,16
2010-12-09,195,21,87,120,34,77,39,32,260,25,9,22,2,14,55,50,23,30,18,20
2010-12-10,165,125,362,152,47,486,35,34,95,5,18,15,13,31,38,123,35,3,1,50
2010-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-12,42,1,53,25,18,5,13,6,49,0,5,6,8,16,7,18,7,12,4,2
2010-12-13,337,28,35,82,24,33,55,31,45,10,10,105,20,13,10,310,23,9,10,88
2010-12-14,185,63,74,228,36,188,11,70,282,55,27,17,43,53,42,36,72,7,11,32
2010-12-15,112,80,150,120,59,194,66,9,355,42,131,20,27,16,1,111,32,2,20,156
2010-12-16,790,210,63,160,51,0,36,86,19,7,50,70,10,3,14,72,44,6,40,38
2010-12-17,58,45,104,40,15,249,16,53,272,42,0,38,1,3,9,64,3,18,25,42
2010-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-19,42,1,16,8,2,0,0,0,8,5,0,12,0,0,3,0,0,73,1,12
2010-12-20,85,47,84,0,12,991,26,8,169,3,1,5,0,10,25,95,24,35,0,15
2010-12-21,41,122,93,24,21,300,25,12,75,22,11,0,2,13,10,23,35,19,9,12
2010-12-22,25,1,1,0,10,24,12,6,0,11,10,14,0,0,0,0,0,0,0,0
2010-12-23,47,11,10,16,1,48,4,14,8,26,1,0,0,2,1,12,3,0,0,12
2010-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
